run_index,repeat_index,budget_mb,budget_size_metric,target_duration_sec,actual_duration_sec,exploration_probe_count,probes_per_second,node_count,edge_count,graph_python_bytes,graph_snapshot_python_bytes,graph_total_python_bytes,graph_serialized_bytes,snapshot_build_sec,host_rss_delta_kb,host_mem_available_delta_kb,host_swap_used_delta_kb,device_mem_available_delta_kb,rollback_success_count,rollback_failure_count,probe_latency_mean_sec,steady_probe_latency_mean_sec,selection_latency_mean_sec,action_latency_mean_sec,screenshot_latency_mean_sec,a11y_tree_latency_mean_sec,device_psi_some_total_delta_us,device_psi_full_total_delta_us,device_pgmajfault_delta,inference_call_count,inference_latency_mean_sec,pruned_edges,pruned_nodes,preloaded_nodes,preload_python_bytes
1,1,8.0,python,60.0,72.40081787109375,5,0.08328852845154905,2100,2100,7614382,7328725,14943107,3036204,0.1990464999980759,26088,0,0,17200,2100,0,6.682557821273804,6.0247355699539185,0.07954943180084229,1.6938918113708497,0.764521312713623,2.607793092727661,386020.0,356262.0,25293.0,0,,0,0,2096,7589115
2,1,32.0,python,60.0,72.39359259605408,4,0.06623371317893932,8340,8339,30220678,29162417,59383095,12085506,0.8782127000013134,35336,0,0,-171784,8339,0,9.211470067501068,6.795830647150676,0.36438798904418945,2.133637011051178,0.8668763637542725,2.604562520980835,86943.0,60295.0,30289.0,0,,0,0,8336,30198999
3,1,0.0,python,60.0,60.42096209526062,5,0.08333175483355804,4,5,35667,404,36071,10934,5.26000076206401e-05,24692,0,0,-145272,5,0,5.148341941833496,4.8863842487335205,0.018692851066589355,1.309472417831421,0.6043437957763672,2.417791247367859,37012.0,29725.0,27936.0,0,,0,0,0,0
4,1,1.0,python,60.0,70.25834369659424,6,0.09992695743372501,276,277,1009580,947041,1956621,400108,0.025493199995253235,24724,0,0,-57024,277,0,4.797188758850098,4.433672904968262,0.025831401348114014,1.1941225131352742,0.6121179262797037,2.3540600538253784,70407.0,50325.0,11759.0,0,,0,0,272,980799
5,2,1.0,python,60.0,68.76452660560608,6,0.09995552293674764,276,277,1009580,947041,1956621,400108,0.05969829999958165,24852,0,0,3408,277,0,4.785329858462016,4.427088403701783,0.02869093418121338,1.2153880596160889,0.5927411317825317,2.4636560678482056,65095.0,39581.0,22290.0,0,,0,0,272,980799
6,2,0.0,python,60.0,75.01023268699646,6,0.09993296550178797,5,6,41531,404,41935,13176,3.6200013710185885e-05,24544,0,0,-53696,6,0,4.952519615491231,4.655011558532715,0.023575735092163087,1.4184538920720418,0.6064320007960001,2.435385545094808,59074.0,45140.0,25628.0,0,,0,0,0,0
7,2,8.0,python,60.0,73.89589595794678,6,0.09991841143686381,2100,2101,7617965,7328725,14946690,3037469,0.19684059999417514,25792,0,0,-87600,2101,0,5.948195695877075,5.107859039306641,0.03250247240066528,1.338555097579956,0.7267659902572632,2.5754354000091553,64003.0,36857.0,10890.0,0,,0,0,2096,7589115
8,2,32.0,python,60.0,72.79973101615906,4,0.06598138958635628,8340,8339,30220678,29162417,59383095,12085507,0.9324323999899207,37240,0,0,-7196,8339,0,9.377724468708038,6.719908316930135,0.4027732213338216,2.272370934486389,0.7233090400695801,2.6453771591186523,62166.0,39495.0,17952.0,0,,0,0,8336,30198999
9,3,0.0,python,60.0,61.15206980705261,5,0.08327590478768312,4,5,35667,404,36071,10936,5.220000457484275e-05,24352,0,0,-105856,5,0,4.873304224014282,4.532324969768524,0.02176845073699951,1.2387409210205078,0.589189100265503,2.3955920934677124,32114.0,24242.0,23249.0,0,,0,0,0,0
10,3,1.0,python,60.0,69.35034513473511,6,0.09995853872257067,276,277,1009580,947041,1956621,400111,0.028771999990567565,25652,0,0,47048,277,0,4.866150180498759,4.443307399749756,0.027935683727264404,1.212298035621643,0.6013334194819132,2.424085855484009,53111.0,31749.0,11436.0,0,,0,0,272,980799
11,3,8.0,python,60.0,71.48755931854248,6,0.09995324811603332,2100,2101,7617896,7328725,14946621,3037450,0.19767109998792876,26236,0,0,-74548,2101,0,5.7368437846501665,4.999511337280273,0.03011012077331543,1.4130892356236775,0.680975079536438,2.49064302444458,76890.0,47628.0,15617.0,0,,0,0,2096,7589115
